Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
76186228,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
76224428,000003F6,false,Rx,0,7,00,08,C0,00,00,C0,01,00,
76303091,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
76521695,000003F6,false,Rx,0,7,00,02,40,00,00,C0,01,00,
76559309,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
76913865,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
77059934,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
77186554,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
77224742,000003F6,false,Rx,0,7,00,08,D0,00,00,C0,01,00,
77304364,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
77559303,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
77561308,000003F6,false,Rx,0,7,00,02,50,00,00,C0,01,00,
77953224,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
78059610,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
78186882,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
78225005,000003F6,false,Rx,0,7,00,08,E0,00,00,C0,01,00,
78288672,000003F6,false,Rx,0,7,00,02,50,00,00,C0,01,00,
78304674,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
78497939,000003F6,false,Rx,0,7,00,02,60,00,00,C0,01,00,
78559966,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
78994075,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
79060296,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
79186911,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
79225396,000003F6,false,Rx,0,7,00,08,F0,00,00,C0,01,00,
79305015,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
79538090,000003F6,false,Rx,0,7,00,02,70,00,00,C0,01,00,
79560650,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
80034515,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
80060305,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
80187847,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
80225783,000003F6,false,Rx,0,7,00,09,00,00,00,C0,01,00,
80305686,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
80559610,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
80577784,000003F6,false,Rx,0,7,00,02,80,00,00,C0,01,00,
80815604,000001A1,false,Rx,0,8,00,7F,46,FF,FF,FF,FF,FF,
80827533,00000167,false,Rx,0,8,09,06,FF,FF,00,00,00,00,
81060661,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
81074373,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
81188651,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
81226821,000003F6,false,Rx,0,7,00,09,10,00,00,C0,01,00,
81307068,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
81307079,000003F6,false,Rx,0,7,00,02,80,00,00,C0,01,00,
81514269,000003F6,false,Rx,0,7,00,02,90,00,00,C0,01,00,
81560955,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
82060968,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
82114493,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
82188644,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
82227184,000003F6,false,Rx,0,7,00,09,20,00,00,C0,01,00,
82306381,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
82554145,000003F6,false,Rx,0,7,00,02,A0,00,00,C0,01,00,
82560310,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
83061301,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
83153661,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
83190328,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
83227452,000003F6,false,Rx,0,7,00,09,30,00,00,C0,01,00,
83307050,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
83562017,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
83593485,000003F6,false,Rx,0,7,00,02,B0,00,00,C0,01,00,
84062340,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
84195170,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
84228023,000003F6,false,Rx,0,7,00,09,40,00,00,C0,01,00,
84307395,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
84561144,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
84634804,000003F6,false,Rx,0,7,00,02,C0,00,00,C0,01,00,
85063714,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
85189960,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
85228278,000003F6,false,Rx,0,7,00,09,50,00,00,C0,01,00,
85234714,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
85307421,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
85562339,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
85674881,000003F6,false,Rx,0,7,00,02,D0,00,00,C0,01,00,
85817635,000001A1,false,Rx,0,8,80,E5,C7,1E,40,00,00,00,
85827422,00000167,false,Rx,0,8,09,06,FF,FF,80,E5,00,00,
86063022,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
86200611,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
86239432,000003F6,false,Rx,0,7,00,09,60,00,00,C0,01,00,
86275061,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
86308054,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
86561663,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
86715225,000003F6,false,Rx,0,7,00,02,E0,00,00,C0,01,00,
87062812,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
87200598,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
87239021,000003F6,false,Rx,0,7,00,09,70,00,00,C0,01,00,
87308073,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
87315290,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
87563042,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
87755504,000003F6,false,Rx,0,7,00,02,F0,00,00,C0,01,00,
87790573,000003E5,false,Rx,0,6,00,01,00,00,00,00,00,00,
87801793,00000167,false,Rx,0,8,09,06,FF,FF,00,00,00,00,
87972696,000003E5,false,Rx,0,6,00,00,00,00,00,00,00,00,
88063358,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
88206495,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
88242140,000003F6,false,Rx,0,7,00,09,80,00,00,C0,01,00,
88308749,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
88355246,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
88563715,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
88795444,000003F6,false,Rx,0,7,00,03,00,00,00,C0,01,00,
89031495,000003E5,false,Rx,0,6,00,01,00,00,00,00,00,00,
89063752,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
89205828,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
89215991,000003E5,false,Rx,0,6,00,00,00,00,00,00,00,00,
89243573,000003F6,false,Rx,0,7,00,09,90,00,00,C0,01,00,
89307910,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
89395797,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
89564063,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
89835381,000003F6,false,Rx,0,7,00,03,10,00,00,C0,01,00,
90064052,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
90206681,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
90242790,000003F6,false,Rx,0,7,00,09,A0,00,00,C0,01,00,
90309436,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
90434107,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
90564396,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
90876758,000003F6,false,Rx,0,7,00,03,20,00,00,C0,01,00,
91064387,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
91206763,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
91243237,000003F6,false,Rx,0,7,00,09,B0,00,00,C0,01,00,
91309773,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
91475021,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
91564746,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
91916265,000003F6,false,Rx,0,7,00,03,30,00,00,C0,01,00,
92065089,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
92207320,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
92243130,000003F6,false,Rx,0,7,00,09,C0,00,00,C0,01,00,
92261271,00000131,false,Rx,0,5,81,00,00,00,00,00,00,00,
92263230,00000162,false,Rx,0,7,80,01,16,01,00,2F,00,00,
92280822,00000165,false,Rx,0,4,C8,A0,00,00,00,00,00,00,
92310137,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
92341891,00000165,false,Rx,0,4,C8,A8,00,00,00,00,00,00,
92393021,00000165,false,Rx,0,4,C8,B0,00,00,00,00,00,00,
92432620,00000165,false,Rx,0,4,C8,B0,30,00,00,00,00,00,
92434192,000001E0,false,Rx,0,5,92,00,A2,00,A0,00,00,00,
92443172,00000131,false,Rx,0,5,83,00,00,00,00,00,00,00,
92445638,00000162,false,Rx,0,7,80,83,16,01,00,2F,00,00,
92516585,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
92556197,000001E5,false,Rx,0,7,3F,3F,3F,3F,3F,00,03,00,
92556206,000001A5,false,Rx,0,1,F1,00,00,00,00,00,00,00,
92564087,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
92819834,000001A1,false,Rx,0,8,00,E5,47,1E,40,00,00,00,
92956498,000003F6,false,Rx,0,7,00,03,40,00,00,C0,01,00,
93066069,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
93207070,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
93243976,000003F6,false,Rx,0,7,00,09,D0,00,00,C0,01,00,
93310474,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
93556542,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
93565756,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
93996518,000003F6,false,Rx,0,7,00,03,50,00,00,C0,01,00,
94065763,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
94207823,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
94245153,000003F6,false,Rx,0,7,00,09,E0,00,00,C0,01,00,
94310809,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
94565770,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
94596222,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
95036422,000003F6,false,Rx,0,7,00,03,60,00,00,C0,01,00,
95066091,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
95208405,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
95250435,000003F6,false,Rx,0,7,00,09,F0,00,00,C0,01,00,
95311156,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
95566888,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
95635031,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
96066791,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
96076370,000003F6,false,Rx,0,7,00,03,70,00,00,C0,01,00,
96208752,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
96244887,000003F6,false,Rx,0,7,00,0A,00,00,00,C0,01,00,
96311340,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
96566796,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
96676751,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
97067127,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
97115329,000003F6,false,Rx,0,7,00,03,80,00,00,C0,01,00,
97209077,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
97245497,000003F6,false,Rx,0,7,00,0A,10,00,00,C0,01,00,
97312172,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
97343080,00000162,false,Rx,0,7,80,03,16,01,00,2F,00,00,
97344655,000001A2,false,Rx,0,5,01,3F,0E,00,00,00,00,00,
97344664,000001E2,false,Rx,0,7,01,3F,0C,00,00,00,00,00,
97567127,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
97716586,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
97826711,000001A1,false,Rx,0,8,80,08,C1,FF,FF,FF,FF,FF,
97840040,00000167,false,Rx,0,8,09,06,FF,FF,80,08,00,00,
98067132,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
98156492,000003F6,false,Rx,0,7,00,03,90,00,00,C0,01,00,
98209840,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
98249055,000003F6,false,Rx,0,7,00,0A,20,00,00,C0,01,00,
98312409,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
98567484,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
98667122,000001E2,false,Rx,0,7,01,3F,0C,00,01,00,00,00,
98758610,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
99067478,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
99197159,000003F6,false,Rx,0,7,00,03,A0,00,00,C0,01,00,
99209796,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
99249673,000003F6,false,Rx,0,7,00,0A,30,00,00,C0,01,00,
99312848,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
99567810,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
99651460,000001E2,false,Rx,0,7,01,3F,0C,00,02,00,00,00,
99796389,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
100068140,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
100210485,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
100237761,000003F6,false,Rx,0,7,00,03,B0,00,00,C0,01,00,
100250419,000003F6,false,Rx,0,7,00,0A,40,00,00,C0,01,00,
100313249,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
100568164,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
100691714,000001E2,false,Rx,0,7,01,3F,0C,00,03,00,00,00,
100835750,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
101068155,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
101212497,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
101251845,000003F6,false,Rx,0,7,00,0A,50,00,00,C0,01,00,
101277425,000003F6,false,Rx,0,7,00,03,C0,00,00,C0,01,00,
101313543,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
101568833,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
101662192,000001E2,false,Rx,0,7,01,3F,0C,00,04,00,00,00,
101750340,00000165,false,Rx,0,4,C8,B0,40,00,00,00,00,00,
101750363,00000131,false,Rx,0,5,81,00,00,00,00,00,00,00,
101760964,000001E0,false,Rx,0,5,52,00,A2,00,A0,00,00,00,
101775380,00000167,false,Rx,0,8,09,06,FF,FF,00,00,00,00,
101792118,00000162,false,Rx,0,7,80,01,16,01,00,2F,00,00,
101877434,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
101893723,000001E5,false,Rx,0,7,3F,3F,3F,3F,3F,40,03,00,
102068835,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
102215571,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
102255896,000003F6,false,Rx,0,7,00,0A,60,00,00,C0,01,00,
102314276,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
102317297,000003F6,false,Rx,0,7,00,03,D0,00,00,C0,01,00,
102568829,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
102917945,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
103069156,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
103215976,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
103255862,000003F6,false,Rx,0,7,00,0A,70,00,00,C0,01,00,
103314258,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
103357661,000003F6,false,Rx,0,7,00,03,E0,00,00,C0,01,00,
103569178,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
103957702,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
104069530,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
104216274,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
104255942,000003F6,false,Rx,0,7,00,0A,80,00,00,C0,01,00,
104314961,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
104402936,000003F6,false,Rx,0,7,00,03,F0,00,00,C0,01,00,
104569572,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
104829143,000001A1,false,Rx,0,8,00,65,41,FF,FF,FF,FF,FF,
104996926,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
105069879,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
105216594,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
105255869,000003F6,false,Rx,0,7,00,0A,90,00,00,C0,01,00,
105315931,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
105439589,000003F6,false,Rx,0,7,00,04,00,00,00,C0,01,00,
105569862,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
106038060,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
106070910,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
106216944,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
106256533,000003F6,false,Rx,0,7,00,0A,A0,00,00,C0,01,00,
106315590,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
106478377,000003F6,false,Rx,0,7,00,04,10,00,00,C0,01,00,
106570580,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
107015937,00000165,false,Rx,0,4,C8,B0,10,00,00,00,00,00,
107070935,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
107078362,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
107196961,000001E5,false,Rx,0,7,3F,3F,42,3F,44,40,17,00,
107218984,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
107256962,000003F6,false,Rx,0,7,00,0A,B0,00,00,C0,01,00,
107315931,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
107518631,000003F6,false,Rx,0,7,00,04,20,00,00,C0,01,00,
107570006,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
108070941,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
108118369,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
108218641,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
108257318,000003F6,false,Rx,0,7,00,0A,C0,00,00,C0,01,00,
108316615,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
108558235,000003F6,false,Rx,0,7,00,04,30,00,00,C0,01,00,
108571030,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
109070501,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
109158898,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
109218642,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
109258303,000003F6,false,Rx,0,7,00,0A,D0,00,00,C0,01,00,
109317017,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
109571966,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
109596785,000003F6,false,Rx,0,7,00,04,40,00,00,C0,01,00,
109826886,000001A1,false,Rx,0,8,80,E0,C6,FF,FF,FF,FF,FF,
109838457,00000167,false,Rx,0,8,09,06,FF,FF,80,E0,00,00,
110071904,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
110199537,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
110219300,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
110258254,000003F6,false,Rx,0,7,00,0A,E0,00,00,C0,01,00,
110316933,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
110571925,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
110641857,000003F6,false,Rx,0,7,00,04,50,00,00,C0,01,00,
111072274,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
111241862,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
111259029,000003F6,false,Rx,0,7,00,0A,F0,00,00,C0,01,00,
111317277,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
111572426,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
111679044,000003F6,false,Rx,0,7,00,04,60,00,00,C0,01,00,
112071599,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
112220690,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
112259605,000003F6,false,Rx,0,7,00,0B,00,00,00,C0,01,00,
112280078,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
112316894,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
112572964,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
112718981,000003F6,false,Rx,0,7,00,04,70,00,00,C0,01,00,
113072986,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
113221500,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
113259976,000003F6,false,Rx,0,7,00,0B,10,00,00,C0,01,00,
113317303,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
113319328,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
113573287,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
113759622,000003F6,false,Rx,0,7,00,04,80,00,00,C0,01,00,
114073283,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
114221019,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
114259974,000003F6,false,Rx,0,7,00,0B,20,00,00,C0,01,00,
114318721,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
114359335,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
114573667,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
114798024,000003F6,false,Rx,0,7,00,04,90,00,00,C0,01,00,
115073632,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
115221094,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
115260294,000003F6,false,Rx,0,7,00,0B,30,00,00,C0,01,00,
115319075,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
115400565,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
115573956,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
115838836,000003F6,false,Rx,0,7,00,04,A0,00,00,C0,01,00,
116073995,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
116221375,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
116259710,000003F6,false,Rx,0,7,00,0B,40,00,00,C0,01,00,
116319344,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
116441629,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
116574306,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
116833775,000001A1,false,Rx,0,8,00,E0,46,FF,FF,FF,FF,FF,
116845960,00000167,false,Rx,0,8,09,06,FF,FF,00,00,00,00,
116880084,000003F6,false,Rx,0,7,00,04,B0,00,00,C0,01,00,
117074282,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
117226454,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
117266143,000003F6,false,Rx,0,7,00,0B,50,00,00,C0,01,00,
117319693,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
117480826,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
117574630,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
117918389,000003F6,false,Rx,0,7,00,04,C0,00,00,C0,01,00,
118022404,00000225,false,Rx,0,5,29,00,40,03,98,00,00,00,
118074971,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
118134069,00000125,false,Rx,0,8,10,3A,40,20,00,00,20,52,
118136483,0000011F,false,Rx,0,3,30,00,0A,00,00,00,00,00,
118140501,00000125,false,Rx,0,8,21,4D,46,20,46,4D,20,B0,
118154687,00000125,false,Rx,0,8,22,3E,20,45,53,4B,41,20,
118171210,00000125,false,Rx,0,8,23,3C,B0,38,37,2E,35,30,
118186567,00000125,false,Rx,0,8,24,00,00,00,70,39,37,2E,
118201821,00000125,false,Rx,0,8,25,30,30,00,00,00,00,38,
118215934,000002A5,false,Rx,0,8,3E,20,45,53,4B,41,20,3C,
118215945,00000125,false,Rx,0,8,26,37,2E,35,30,00,00,00,
118217370,00000225,false,Rx,0,5,20,20,40,03,BA,00,00,00,
118227222,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
118231904,00000125,false,Rx,0,8,27,70,38,37,2E,35,30,00,
118247672,00000125,false,Rx,0,4,28,00,00,70,00,00,00,00,
118266425,000003F6,false,Rx,0,7,00,0B,60,00,00,C0,01,00,
118320242,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
118519880,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
118574969,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
118960638,000003F6,false,Rx,0,7,00,04,D0,00,00,C0,01,00,
119075311,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
119227791,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
119266866,000003F6,false,Rx,0,7,00,0B,70,00,00,C0,01,00,
119320371,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
119560360,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
119575326,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
120000572,000003F6,false,Rx,0,7,00,04,E0,00,00,C0,01,00,
120075716,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
120228227,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
120267432,000003F6,false,Rx,0,7,00,0B,80,00,00,C0,01,00,
120320703,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
120575656,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
120600563,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
120976975,00000225,false,Rx,0,5,29,20,40,03,BA,00,00,00,
121039647,000003F6,false,Rx,0,7,00,04,F0,00,00,C0,01,00,
121069608,00000125,false,Rx,0,8,10,3A,40,20,00,00,20,52,
121073940,00000125,false,Rx,0,8,21,4D,46,20,46,4D,20,B0,
121076324,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
121089307,00000125,false,Rx,0,8,22,3E,20,45,53,4B,41,20,
121104686,00000125,false,Rx,0,8,23,3C,B0,38,37,2E,35,30,
121120115,00000125,false,Rx,0,8,24,00,00,00,70,39,37,2E,
121134357,00000125,false,Rx,0,8,25,30,30,00,00,00,00,38,
121150759,00000225,false,Rx,0,5,20,20,40,03,BA,00,00,00,
121150781,00000125,false,Rx,0,8,26,37,2E,35,30,00,00,00,
121164730,00000125,false,Rx,0,8,27,70,38,37,2E,35,30,00,
121180174,00000125,false,Rx,0,4,28,00,00,70,00,00,00,00,
